"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Senegal","0.08","0.08000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Eastern Mediterranean","Tunisia","1.24","1.24000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Turkiye","3.93","3.93000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Uganda","0.06","0.06000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","United Republic of Tanzania","0.09","0.09000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Americas","Uruguay","2.97","2.97000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Europe","Azerbaijan","1.63","1.63000","","","","","Only public sector data"
"Total density per million population: Linear Accelerator","Published","2010","Americas","Bahamas","2.92","2.92000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","South-East Asia","Bangladesh","0.05","0.05000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Americas","Barbados","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Cameroon","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Canada","8.14","8.14000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Cabo Verde","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Africa","Central African Republic","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Dominican Republic","0.60","0.60000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Eastern Mediterranean","Egypt","0.47","0.47000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Americas","El Salvador","0.32","0.32000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Africa","Eritrea","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Guatemala","0.49","0.49000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Guinea","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Guinea-Bissau","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Guyana","1.33","1.33000","","","","","Only private sector data"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Kenya","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Western Pacific","Kiribati","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Eastern Mediterranean","Kuwait","0.73","0.73000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Europe","Kyrgyzstan","0.19","0.19000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Mauritania","0.29","0.29000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Africa","Mauritius","0.77","0.77000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Mexico","0.19","0.19000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Western Pacific","Micronesia (Federated States of)","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Africa","Nigeria","0.04","0.04000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Europe","Norway","7.58","7.58000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Eastern Mediterranean","Oman","0.72","0.72000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Eastern Mediterranean","Pakistan","0.05","0.05000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Panama","1.71","1.71000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Americas","Saint Vincent and the Grenadines","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Western Pacific","Samoa","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Europe","San Marino","0.00","0.00000","","","","",""
"Total density per million population: Linear Accelerator","Published","2010","Eastern Mediterranean","Saudi Arabia","0.11","0.11000","","","","","Only public sector data"
"Total density per million population: Linear Accelerator","Published","2010","Europe","Switzerland","9.13","9.13000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
"Total density per million population: Linear Accelerator","Published","2010","Eastern Mediterranean","Syrian Arab Republic","0.05","0.05000","","","","","from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)"
