"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Belgium","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Africa","Chad","","1.5 [1.2–1.8]","1.50000","1.20000","1.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Denmark","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Americas","Dominica","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Africa","Ghana","","1.9 [1.6–2.2]","1.90000","1.60000","2.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Ireland","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Italy","","0.3 [0.2–0.3]","0.30000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Africa","Mozambique","","12.1 [11.6–12.6]","12.10000","11.60000","12.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Western Pacific","Papua New Guinea","","0.7 [0.7–0.8]","0.70000","0.70000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Africa","Sao Tome and Principe","","0.9 [0.7–1.1]","0.90000","0.70000","1.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Eastern Mediterranean","Saudi Arabia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Eastern Mediterranean","Sudan","","0.1 [0.1–0.2]","0.10000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Sweden","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Ukraine","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Americas","Antigua and Barbuda","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Africa","Botswana","","22.1 [20.1–23.5]","22.10000","20.10000","23.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Western Pacific","Cook Islands","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Africa","Eritrea","","0.8 [0.6–1.1]","0.80000","0.60000","1.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Europe","Estonia","","0.8 [0.7–0.8]","0.80000","0.70000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Europe","Kazakhstan","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Eastern Mediterranean","Kuwait","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Africa","Mali","","1.3 [1.1–1.5]","1.30000","1.10000","1.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Africa","Mauritania","","0.5 [0.4–0.5]","0.50000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Western Pacific","New Zealand","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Africa","Nigeria","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Eastern Mediterranean","Qatar","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Western Pacific","Republic of Korea","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Western Pacific","Vanuatu","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2011","Eastern Mediterranean","Yemen","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Americas","Bahamas","","1.6 [1.5–1.7]","1.60000","1.50000","1.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Eastern Mediterranean","Bahrain","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Americas","Barbados","","1.1 [1–1.2]","1.10000","1.00000","1.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Africa","Cabo Verde","","0.8 [0.7–0.9]","0.80000","0.70000","0.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Americas","Canada","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Europe","Denmark","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Africa","Gabon","","4.3 [3.6–5.2]","4.30000","3.60000","5.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","South-East Asia","India","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","","0.1 [<0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Africa","Liberia","","1.6 [1.5–1.8]","1.60000","1.50000","1.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Western Pacific","Micronesia (Federated States of)","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Europe","Monaco","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Europe","Montenegro","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Western Pacific","Palau","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Africa","South Africa","","17.5 [12.4–23.2]","17.50000","12.40000","23.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Europe","Spain","","0.3 [0.3–0.3]","0.30000","0.30000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Europe","Turkiye","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2010","Western Pacific","Tuvalu","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Europe","Andorra","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Africa","Benin","","1.2 [1–1.4]","1.20000","1.00000","1.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Americas","Bolivia (Plurinational State of)","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Americas","Ecuador","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Americas","Grenada","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Western Pacific","Japan","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Western Pacific","Malaysia","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Africa","Namibia","","13.3 [12.7–14]","13.30000","12.70000","14.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Europe","Netherlands (Kingdom of the)","","0.2 [0.1–0.2]","0.20000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Americas","Peru","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Europe","Portugal","","0.6 [0.6–0.7]","0.60000","0.60000","0.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Africa","Senegal","","0.6 [0.5–0.7]","0.60000","0.50000","0.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Eastern Mediterranean","Syrian Arab Republic","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2009","Americas","Uruguay","","0.4 [0.4–0.5]","0.40000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Europe","Armenia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Western Pacific","Brunei Darussalam","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Burundi","","1.8 [1.6–2]","1.80000","1.60000","2.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Cote d'Ivoire","","3.9 [3.5–4.5]","3.90000","3.50000","4.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Europe","Cyprus","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Eswatini","","27.2 [26.6–27.9]","27.20000","26.60000","27.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Ethiopia","","1.5 [1.2–2]","1.50000","1.20000","2.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Europe","Finland","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Europe","Hungary","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Americas","Mexico","","0.3 [0.3–0.3]","0.30000","0.30000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Niger","","0.4 [0.4–0.5]","0.40000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Europe","North Macedonia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Europe","Republic of Moldova","","0.5 [0.4–0.9]","0.50000","0.40000","0.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Rwanda","","3.8 [3.6–4]","3.80000","3.60000","4.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","South Africa","","16.8 [12–22.6]","16.80000","12.00000","22.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2008","Africa","Zimbabwe","","16.1 [14.4–17.5]","16.10000","14.40000","17.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Americas","Barbados","","1.1 [1–1.2]","1.10000","1.00000","1.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Europe","Belgium","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Africa","Chad","","1.6 [1.3–2]","1.60000","1.30000","2.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Americas","Chile","","0.3 [0.2–0.3]","0.30000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Americas","Dominica","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Europe","Ireland","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Europe","Lithuania","","<0.1 [<0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Europe","Montenegro","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Africa","Mozambique","","11.2 [10.5–11.9]","11.20000","10.50000","11.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","South-East Asia","Myanmar","","0.8 [0.7–1]","0.80000","0.70000","1.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Western Pacific","Papua New Guinea","","0.7 [0.6–0.8]","0.70000","0.60000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Western Pacific","Samoa","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Eastern Mediterranean","Saudi Arabia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Eastern Mediterranean","Sudan","","0.1 [0.1–0.2]","0.10000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Europe","Switzerland","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2007","Europe","Ukraine","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Americas","Antigua and Barbuda","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Americas","Bolivia (Plurinational State of)","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Africa","Botswana","","23.3 [21.6–24.5]","23.30000","21.60000","24.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Americas","Brazil","","0.4 [0.4–0.4]","0.40000","0.40000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Americas","El Salvador","","0.5 [0.5–0.5]","0.50000","0.50000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Europe","Estonia","","0.6 [0.6–0.6]","0.60000","0.60000","0.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Africa","Guinea","","1.7 [1.5–1.9]","1.70000","1.50000","1.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Africa","Guinea-Bissau","","4.3 [3.9–4.8]","4.30000","3.90000","4.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Americas","Haiti","","1.9 [1.7–2.1]","1.90000","1.70000","2.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Europe","Kazakhstan","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Eastern Mediterranean","Kuwait","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Africa","Mali","","1.4 [1.2–1.7]","1.40000","1.20000","1.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Americas","Nicaragua","","0.2 [0.2–0.3]","0.20000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Europe","Poland","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Africa","Seychelles","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","Europe","Slovakia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2006","South-East Asia","Thailand","","1.9 [1.6–2.1]","1.90000","1.60000","2.10000","","",""
